iter	Passed	Remaining
0	58	58064
1	58	29215
2	58	19592
3	59	14781
4	59	11891
5	60	9963
6	60	8589
7	60	7553
8	61	6748
9	61	6109
10	62	5585
11	63	5195
12	63	4822
13	63	4502
14	64	4225
15	64	3981
16	65	3767
17	65	3581
18	66	3417
19	66	3265
20	67	3125
21	67	2998
22	67	2880
23	68	2772
24	68	2673
25	69	2585
26	69	2503
27	69	2427
28	70	2358
29	70	2291
30	71	2226
31	71	2169
32	72	2115
33	72	2063
34	72	2012
35	73	1965
36	73	1922
37	74	1883
38	75	1855
39	75	1817
40	76	1780
41	76	1745
42	76	1713
43	77	1681
44	77	1650
45	78	1621
46	78	1598
47	79	1570
48	79	1543
49	79	1518
50	80	1495
51	80	1471
52	81	1450
53	81	1431
54	82	1411
55	82	1390
56	82	1372
57	83	1354
58	83	1336
59	84	1318
60	84	1302
61	85	1286
62	85	1270
63	85	1255
64	86	1241
65	86	1228
66	87	1215
67	87	1203
68	88	1189
69	88	1175
70	88	1163
71	89	1152
72	89	1141
73	90	1134
74	91	1128
75	91	1117
76	92	1106
77	92	1095
78	93	1085
79	93	1075
80	93	1064
81	94	1054
82	94	1042
83	94	1034
84	95	1025
85	95	1017
86	96	1009
87	96	1001
88	97	994
89	97	986
90	98	979
91	98	971
92	98	964
93	99	956
94	99	949
95	100	943
96	100	936
97	100	929
98	101	922
99	101	915
100	102	908
101	102	902
102	102	895
103	103	890
104	103	884
105	104	878
106	104	873
107	104	867
108	105	861
109	105	856
110	106	851
111	106	847
112	107	842
113	107	837
114	108	832
115	108	827
116	108	821
117	109	816
118	109	811
119	109	806
120	110	801
121	110	795
122	111	791
123	111	787
124	111	782
125	112	778
126	112	773
127	112	768
128	113	764
129	113	761
130	114	756
131	114	752
132	114	748
133	115	744
134	115	740
135	115	736
136	116	733
137	116	729
138	117	726
139	117	722
140	118	719
141	118	714
142	118	711
143	119	708
144	119	705
145	120	702
146	120	699
147	121	696
148	121	694
149	122	693
150	122	690
151	123	687
152	123	684
153	124	681
154	124	678
155	124	675
156	125	672
157	125	669
158	125	666
159	126	663
160	126	659
161	127	657
162	127	654
163	128	652
164	128	650
165	128	647
166	129	644
167	129	642
168	130	639
169	130	637
170	131	635
171	131	632
172	131	630
173	132	628
174	132	625
175	133	623
176	133	621
177	134	619
178	134	617
179	135	615
180	135	613
181	136	611
182	136	609
183	137	607
184	137	605
185	137	603
186	138	601
187	138	599
188	139	597
189	139	595
190	140	593
191	140	591
192	141	590
193	141	588
194	142	586
195	142	584
196	142	582
197	143	580
198	143	578
199	144	576
200	144	575
201	145	573
202	145	571
203	146	570
204	146	568
205	147	566
206	147	564
207	147	563
208	148	561
209	148	560
210	149	558
211	149	556
212	150	555
213	150	553
214	151	552
215	151	550
216	152	549
217	152	548
218	153	547
219	153	545
220	154	544
221	154	542
222	155	541
223	155	539
224	156	537
225	156	536
226	157	534
227	157	533
228	157	531
229	158	530
230	158	528
231	159	527
232	159	525
233	160	524
234	160	522
235	160	521
236	161	519
237	161	518
238	162	516
239	162	515
240	163	513
241	163	512
242	164	511
243	165	511
244	165	510
245	165	508
246	166	507
247	166	506
248	167	505
249	168	504
250	168	502
251	168	501
252	169	500
253	169	498
254	170	497
255	170	495
256	171	494
257	171	493
258	172	492
259	172	490
260	172	489
261	173	488
262	173	487
263	174	485
264	174	484
265	175	483
266	175	481
267	176	480
268	176	479
269	177	478
270	177	477
271	177	476
272	178	475
273	178	474
274	179	472
275	179	471
276	180	470
277	180	469
278	181	468
279	181	466
280	182	466
281	183	466
282	183	466
283	184	465
284	185	464
285	185	463
286	186	462
287	186	461
288	186	459
289	187	458
290	187	457
291	188	456
292	188	455
293	189	454
294	189	453
295	190	452
296	190	451
297	191	450
298	191	449
299	192	448
300	192	447
301	193	446
302	193	445
303	193	444
304	194	442
305	194	441
306	195	440
307	195	439
308	195	438
309	196	437
310	196	435
311	197	434
312	197	433
313	198	432
314	198	431
315	198	430
316	199	429
317	199	428
318	200	427
319	200	426
320	201	425
321	201	424
322	201	423
323	202	422
324	202	421
325	203	420
326	203	419
327	204	418
328	204	417
329	204	415
330	205	414
331	205	413
332	206	412
333	206	411
334	206	410
335	207	410
336	207	409
337	208	407
338	208	407
339	209	406
340	209	405
341	210	404
342	210	403
343	211	402
344	211	401
345	211	400
346	212	399
347	212	398
348	213	397
349	213	396
350	214	396
351	214	395
352	215	394
353	215	393
354	216	392
355	216	391
356	216	390
357	217	389
358	217	388
359	218	388
360	218	387
361	219	386
362	219	385
363	220	384
364	220	383
365	220	382
366	221	381
367	221	380
368	222	380
369	222	379
370	223	378
371	223	377
372	224	376
373	224	375
374	225	375
375	225	374
376	225	373
377	226	372
378	226	371
379	227	370
380	227	369
381	228	369
382	228	368
383	229	367
384	229	367
385	230	366
386	230	365
387	231	364
388	231	363
389	231	362
390	232	361
391	232	361
392	233	360
393	233	359
394	234	358
395	234	357
396	234	356
397	235	355
398	235	354
399	235	353
400	236	353
401	236	352
402	237	351
403	237	350
404	238	350
405	238	349
406	239	348
407	239	348
408	240	347
409	240	346
410	241	345
411	241	344
412	241	343
413	242	342
414	242	342
415	243	341
416	243	340
417	244	339
418	244	339
419	245	338
420	245	337
421	246	337
422	246	336
423	247	335
424	247	334
425	248	334
426	248	333
427	248	332
428	249	331
429	249	331
430	250	330
431	250	329
432	251	329
433	251	328
434	252	327
435	252	326
436	253	326
437	253	325
438	254	324
439	254	324
440	255	323
441	255	322
442	256	321
443	256	321
444	256	320
445	257	319
446	257	319
447	258	318
448	258	317
449	259	317
450	259	316
451	260	315
452	260	315
453	261	314
454	261	313
455	262	312
456	262	312
457	263	311
458	263	310
459	264	310
460	264	309
461	265	308
462	265	308
463	266	307
464	266	306
465	267	306
466	267	305
467	268	304
468	268	304
469	269	303
470	269	302
471	270	302
472	270	301
473	271	300
474	271	300
475	272	299
476	272	299
477	273	298
478	273	297
479	274	297
480	274	296
481	275	296
482	276	295
483	276	295
484	277	294
485	277	293
486	278	293
487	278	292
488	279	291
489	279	291
490	280	290
491	280	289
492	281	289
493	281	288
494	281	287
495	282	286
496	282	286
497	283	285
498	283	285
499	284	284
500	284	283
501	285	283
502	285	282
503	286	281
504	286	280
505	287	280
506	287	279
507	287	278
508	288	278
509	288	277
510	289	276
511	289	276
512	290	275
513	291	275
514	291	274
515	292	273
516	292	273
517	292	272
518	293	271
519	293	271
520	294	270
521	294	269
522	295	269
523	295	268
524	296	268
525	296	267
526	297	266
527	297	266
528	298	265
529	298	264
530	299	264
531	299	263
532	299	262
533	300	262
534	300	261
535	301	260
536	301	260
537	302	259
538	302	259
539	303	258
540	303	257
541	304	257
542	304	256
543	305	255
544	305	255
545	306	254
546	306	254
547	307	253
548	308	253
549	308	252
550	309	251
551	309	251
552	310	250
553	310	250
554	311	249
555	311	248
556	312	248
557	312	247
558	313	246
559	313	246
560	314	245
561	315	245
562	315	245
563	316	244
564	317	244
565	317	243
566	318	242
567	318	242
568	319	241
569	319	241
570	320	240
571	320	240
572	321	239
573	322	239
574	323	238
575	323	238
576	324	237
577	324	237
578	325	236
579	326	236
580	327	236
581	327	235
582	328	235
583	329	234
584	330	234
585	330	233
586	332	233
587	332	233
588	333	232
589	334	232
590	335	231
591	335	231
592	336	230
593	336	230
594	337	229
595	337	229
596	338	228
597	339	228
598	339	227
599	340	226
600	340	226
601	341	225
602	342	225
603	342	224
604	343	224
605	343	223
606	344	222
607	344	222
608	345	221
609	346	221
610	346	220
611	347	220
612	347	219
613	348	219
614	348	218
615	349	217
616	350	217
617	350	216
618	351	216
619	351	215
620	352	215
621	353	214
622	353	214
623	354	213
624	355	213
625	355	212
626	356	212
627	357	211
628	357	210
629	358	210
630	358	209
631	359	209
632	360	208
633	360	208
634	361	207
635	361	207
636	362	206
637	363	206
638	363	205
639	364	204
640	364	204
641	365	203
642	365	203
643	366	202
644	367	202
645	367	201
646	368	200
647	369	200
648	369	199
649	370	199
650	370	198
651	371	198
652	372	197
653	372	197
654	373	196
655	373	196
656	374	195
657	374	194
658	375	194
659	375	193
660	376	193
661	377	192
662	377	191
663	378	191
664	378	190
665	379	190
666	380	189
667	380	189
668	381	188
669	381	188
670	382	187
671	383	187
672	384	186
673	384	186
674	385	185
675	385	184
676	386	184
677	387	183
678	387	183
679	388	182
680	388	182
681	389	181
682	390	181
683	390	180
684	391	179
685	392	179
686	392	178
687	393	178
688	393	177
689	393	176
690	394	176
691	395	175
692	395	175
693	396	174
694	396	174
695	397	173
696	397	173
697	398	172
698	399	171
699	400	171
700	401	171
701	401	170
702	402	169
703	402	169
704	403	168
705	403	168
706	404	167
707	404	166
708	405	166
709	406	165
710	406	165
711	407	164
712	407	164
713	408	163
714	409	163
715	409	162
716	410	161
717	410	161
718	411	160
719	411	160
720	412	159
721	412	158
722	413	158
723	414	157
724	415	157
725	415	156
726	416	156
727	417	155
728	417	155
729	418	154
730	418	154
731	419	153
732	420	153
733	420	152
734	421	151
735	421	151
736	422	150
737	422	150
738	423	149
739	424	149
740	424	148
741	425	147
742	425	147
743	426	146
744	426	146
745	427	145
746	428	145
747	429	144
748	429	144
749	430	143
750	431	143
751	432	142
752	432	141
753	433	141
754	434	140
755	434	140
756	435	139
757	435	139
758	436	138
759	436	137
760	437	137
761	437	136
762	438	136
763	438	135
764	439	135
765	440	134
766	440	133
767	441	133
768	441	132
769	441	132
770	442	131
771	443	130
772	444	130
773	445	130
774	447	129
775	447	129
776	448	128
777	449	128
778	450	127
779	450	127
